State,"Per 100,000 adults, 2023",Abbreviation
Alabama,505,AL
Alaska,266,AK
Arizona,568,AZ
Arkansas,773,AR
California,314,CA
Colorado,364,CO
Connecticut,229,CT
Delaware,346,DE
Florida,474,FL
Georgia,582,GA
Hawaii,207,HI
Idaho,641,ID
Illinois,303,IL
Indiana,455,IN
Iowa,354,IA
Kansas,399,KS
Kentucky,545,KY
Louisiana,804,LA
Maine,144,ME
Maryland,334,MD
Massachusetts,118,MA
Michigan,415,MI
Minnesota,196,MN
Mississippi,847,MS
Missouri,494,MO
Montana,552,MT
Nebraska,390,NE
Nevada,415,NV
New Hampshire,183,NH
New Jersey,160,NJ
New Mexico,328,NM
New York,209,NY
North Carolina,350,NC
North Dakota,313,ND
Ohio,504,OH
Oklahoma,715,OK
Oregon,361,OR
Pennsylvania,376,PA
Rhode Island,150,RI
South Carolina,380,SC
South Dakota,533,SD
Tennessee,436,TN
Texas,634,TX
Utah,255,UT
Vermont,150,VT
Virginia,400,VA
Washington,229,WA
West Virginia,409,WV
Wisconsin,438,WI
Wyoming,484,WY
