USAFacts Chart Data,,,
"Downloaded on April 26, 2026 from:",,,
https://usafacts.org/answers/how-many-people-are-in-prisons-in-the-us/country/united-states/,,,
Visit the URL for more information about sources and methods.,,,
,,,
"Title: In 2023, state-run prison systems in 8 states were operating above maximum capacity.",,,
Subtitle: Prison occupancy vs. maximum capacity,,,
Data sourced from: US Bureau of Justice Statistics,,,
State Abb,State,Intuitive,Intuitive_popup
MD,Maryland,-14.3,-14.3%
CT,Connecticut,,No data
TN,Tennessee,-15.3,-15.3%
KS,Kansas,-14.6,-14.6%
RI,Rhode Island,-42.1,-42.1%
DE,Delaware,-18.4,-18.4%
AZ,Arizona,-22.1,-22.1%
IA,Iowa,15.1,+15.1%
OR,Oregon,-17.9,-17.9%
VT,Vermont,-23.4,-23.4%
PA,Pennsylvania,-12.0,-12.0%
CA,California,-11.3,-11.3%
AL,Alabama,-4.4,-4.4%
MT,Montana,-11.6,-11.6%
WV,West Virginia,-16.8,-16.8%
NV,Nevada,-28.3,-28.3%
LA,Louisiana,-25.7,-25.7%
ME,Maine,-30.2,-30.2%
TX,Texas,-4.3,-4.3%
VA,Virginia,-3.0,-3.0%
NY,New York,-24.4,-24.4%
SD,South Dakota,-7.6,-7.6%
KY,Kentucky,-18.8,-18.8%
OH,Ohio,,No data
NJ,New Jersey,-34.5,-34.5%
NH,New Hampshire,-29.3,-29.3%
MS,Mississippi,-17.6,-17.6%
CO,Colorado,6.1,+6.1%
AK,Alaska,-20.2,-20.2%
IL,Illinois,-30.2,-30.2%
MA,Massachusetts,-37.0,-37.0%
MN,Minnesota,-13.1,-13.1%
MO,Missouri,,No data
NE,Nebraska,16.0,+16.0%
SC,South Carolina,-18.8,-18.8%
GA,Georgia,-11.5,-11.5%
NM,New Mexico,-13.7,-13.7%
MI,Michigan,-6.5,-6.5%
OK,Oklahoma,-5.3,-5.3%
WY,Wyoming,-30.2,-30.2%
IN,Indiana,-26.4,-26.4%
FL,Florida,12.1,+12.1%
ND,North Dakota,0.9,+0.9%
HI,Hawaii,-15.0,-15.0%
ID,Idaho,6.5,+6.5%
NC,North Carolina,-12.5,-12.5%
WA,Washington state,7.6,+7.6%
AR,Arkansas,0.7,+0.7%
UT,Utah,-32.5,-32.5%
WI,Wisconsin,-0.7,-0.7%
