State,"Correctional Officers and Jailers, median salary, 2023",Abbreviation
Alabama,40760,AL
Alaska,70870,AK
Arizona,53260,AZ
Arkansas,40480,AR
California,93160,CA
Colorado,58470,CO
Connecticut,59860,CT
Delaware,53710,DE
Florida,41180,FL
Georgia,41880,GA
Hawaii,63110,HI
Idaho,48400,ID
Illinois,64440,IL
Indiana,44370,IN
Iowa,48920,IA
Kansas,42020,KS
Kentucky,36940,KY
Louisiana,39420,LA
Maine,48360,ME
Maryland,58950,MD
Massachusetts,78810,MA
Michigan,62460,MI
Minnesota,58620,MN
Mississippi,35040,MS
Missouri,38000,MO
Montana,48870,MT
Nebraska,58240,NE
Nevada,63500,NV
New Hampshire,52350,NH
New Jersey,87460,NJ
New Mexico,41600,NM
New York,71300,NY
North Carolina,46440,NC
North Dakota,48560,ND
Ohio,56530,OH
Oklahoma,43690,OK
Oregon,78070,OR
Pennsylvania,59240,PA
Rhode Island,,RI
South Carolina,43040,SC
South Dakota,49950,SD
Tennessee,46850,TN
Texas,48030,TX
Utah,60030,UT
Vermont,50250,VT
Virginia,47010,VA
Washington,62820,WA
West Virginia,45550,WV
Wisconsin,60630,WI
Wyoming,48830,WY
