State,Total prisoners,"Total State spending on Corrections, 2023",Spending per prisoner,"Totsl spending, inflation adjusted","Spending per prisoner, 2023 Inflation adjusted to FY 2024",Abbreviation
Alabama,27181,819170000,30137.59611,844349601.6,31063.96386,AL
Alaska,4478,463582000,103524.3412,477831557.6,106706.4666,AK
Arizona,34473,1582676000,45910.5967,1631324206,47321.79405,AZ
Arkansas,18503,402825000,21770.79393,415207012.3,22439.98337,AR
California,95962,11654175000,121445.7285,12012400379,125178.7205,CA
Colorado,17459,1087316000,62278.2519,1120737858,64192.55732,CO
Connecticut,11099,768118000,69206.0546,791728368.1,71333.30643,CT
Delaware,4867,464981000,95537.49743,479273559.9,98474.12368,DE
Florida,87207,3571226000,40951.13924,3680998145,42209.89307,FL
Georgia,50425,1895339000,37587.28805,1953597824,38742.64401,GA
Hawaii,3942,233021000,59112.3795,240183586.4,60929.37251,HI
Idaho,9829,419669000,42697.01903,432568762.2,44009.43761,ID
Illinois,29828,1800702000,60369.51857,1856051877,62225.15345,IL
Indiana,25088,816320000,32538.26531,841411998.4,33538.42468,IN
Iowa,8831,343704000,38920.16759,354268754.3,40116.49352,IA
Kansas,9125,466759000,51151.67123,481106212,52723.96844,KS
Kentucky,19175,809073000,42194.15906,833942240.6,43491.12076,KY
Louisiana,28186,801250000,28427.23338,825878777.6,29301.02809,LA
Maine,1873,185428000,99000.5339,191127675.5,102043.6068,ME
Maryland,16236,1831028000,112775.8068,1887310036,116242.3033,MD
Massachusetts,6002,1710424000,284975.6748,1762998917,293735.2411,MA
Michigan,32986,1985285000,60185.68484,2046308579,62035.66905,MI
Minnesota,8725,596588000,68376.84814,614925888.5,70478.61187,MN
Mississippi,19526,374317000,19170.18335,385822735,19759.43537,MS
Missouri,24223,892024000,36825.49643,919442983.8,37957.43648,MO
Montana,4985,260517000,52260.18054,268524757,53866.55104,MT
Nebraska,5931,558430000,94154.44276,575594990.1,97048.55675,NE
Nevada,10463,399825000,38213.22756,412114798.5,39387.82361,NV
New Hampshire,2115,183634000,86824.58629,189278531.6,89493.39556,NH
New Jersey,11675,1632575000,139835.1178,1682756999,144133.3618,NJ
New Mexico,5586,576245000,103158.7898,593957586.5,106329.6789,NM
New York,32583,3165679000,97157.38268,3262985464,100143.8009,NY
North Carolina,30685,2013039000,65603.35669,2074915680,67619.86899,NC
North Dakota,1899,134230000,70684.57083,138355954.2,72857.26921,ND
Ohio,46530,1987153000,42706.92027,2048233998,44019.64319,OH
Oklahoma,22283,676544000,30361.44146,697339571.6,31294.68974,OK
Oregon,12316,1079576000,87656.38194,1112759947,90350.7589,OR
Pennsylvania,38860,2849633000,73330.75142,2937224860,75584.78795,PA
Rhode Island,2519,313583000,124487.0981,323221896.7,128313.5755,RI
South Carolina,16453,761593000,46289.00504,785002803,47711.83389,SC
South Dakota,3764,166098000,44128.05526,171203511,45484.46095,SD
Tennessee,24408,903892000,37032.61226,931675781.7,38170.91862,TN
Texas,149264,4073889000,27293.17853,4199111972,28132.11472,TX
Utah,6402,503101000,78584.97345,518565290.4,81000.51396,UT
Vermont,1334,181880000,136341.8291,187470617.3,140532.6966,VT
Virginia,27442,1820242000,66330.51527,1876192497,68369.37893,VA
Washington,14441,1447890000,100262.4472,1492395162,103344.3087,WA
West Virginia,5800,462256000,79699.31034,476464799,82149.10328,WV
Wisconsin,22418,1325663000,59133.86564,1366411155,60951.51909,WI
Wyoming,2212,136279000,61608.95118,140467936.3,63502.68367,WY
